Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2024-06-13,10445.0,10505.0,10050.0,10080.0,260562,0.0,0.7,Hold,62.21198156682028,10455.4591,9776.25,9097.0409,68.0,92.0,24.0,58.4463,10250.0,9934.0,9776.25,9586.0,9155.8333,NaN,80.9877,63.8548,80.98765432098766,85.16776184786936,2.0301,1.3871,0.643,463050.KS,NaN
2024-06-14,10080.0,10160.0,9965.0,10030.0,230283,0.0,0.7,Hold,59.90783410138249,10480.5827,9794.0,9107.4173,64.0,88.0,24.0,57.4373,10187.0,10007.0,9794.0,9590.4167,9171.2083,NaN,72.0988,69.2917,72.09876543209877,79.27883977167131,1.9281,1.4953,0.4328,463050.KS,NaN
2024-06-17,10035.0,10100.0,9960.0,9995.0,210996,0.0,0.7,Hold,61.904761904761905,10495.1636,9802.75,9110.3364,60.0,84.0,24.0,57.2084,10157.0,10069.0,9802.75,9591.5833,9185.1667,NaN,64.8148,74.287,64.81481481481482,72.63374485596708,1.7981,1.5559,0.2422,463050.KS,NaN
2024-06-18,10030.0,10250.0,9985.0,10130.0,134538,0.0,0.7,Hold,64.34977578475336,10527.3737,9819.75,9112.1263,56.00000000000001,80.0,23.999999999999993,57.185,10105.0,10126.0,9819.75,9593.4167,9201.5417,NaN,66.0494,77.9564,66.04938271604938,67.65432098765432,1.7835,1.6014,0.1821,463050.KS,NaN
2024-06-19,10160.0,10285.0,9960.0,10105.0,167169,0.0,0.7,Hold,69.82968369829683,10552.3084,9833.25,9114.1916,52.0,76.0,24.0,56.8754,10068.0,10148.5,9833.25,9598.25,9216.5833,NaN,67.9012,79.1915,67.90123456790123,66.2551440329218,1.7313,1.6274,0.1039,463050.KS,NaN
2024-06-20,10065.0,10265.0,10045.0,10225.0,165938,0.0,0.7,Hold,71.36258660508084,10595.9095,9862.5,9129.0905,48.0,72.0,24.0,59.4106,10097.0,10173.5,9862.5,9601.3333,9231.9167,NaN,73.5802,78.6598,73.58024691358024,69.17695473251028,1.7658,1.655,0.1107,463050.KS,NaN
2024-06-21,10255.0,10405.0,10160.0,10365.0,177188,0.0,0.7,Hold,72.19730941704036,10653.9148,9903.25,9152.5852,43.99999999999999,68.0,24.000000000000007,62.0184,10164.0,10175.5,9903.25,9606.75,9247.625,NaN,79.3827,77.1261,78.8141789858528,73.43188682244475,1.8827,1.7006,0.1821,463050.KS,NaN
2024-06-24,10425.0,10540.0,10220.0,10365.0,208269,0.0,0.7,Hold,69.68215158924205,10704.9554,9941.5,9178.0446,40.0,100.0,60.0,62.1785,10238.0,10197.5,9941.5,9605.5,9261.8333,NaN,85.1557,76.4486,82.98084565251948,78.45842385065085,1.9513,1.7507,0.2006,463050.KS,NaN
2024-06-25,10320.0,10430.0,10175.0,10400.0,89108,0.0,0.7,Hold,64.77272727272728,10746.0452,9986.75,9227.4548,36.0,96.0,60.0,55.2803,10292.0,10198.5,9986.75,9605.8333,9275.375,NaN,88.8111,76.3532,84.22078124028114,82.0052686262178,2.009,1.8024,0.2067,463050.KS,NaN
2024-06-26,10390.0,10395.0,10215.0,10305.0,76046,0.0,0.7,Hold,59.375,10761.6053,10027.5,9293.3947,31.999999999999996,92.0,60.0,47.7256,10332.0,10200.0,10027.5,9609.8333,9286.25,NaN,86.715,76.5497,74.86381809095452,80.68848166125171,1.9559,1.8331,0.1228,463050.KS,NaN
2024-06-27,10220.0,10440.0,10165.0,10330.0,140561,0.0,0.7,Hold,49.46996466431096,10736.9824,10079.5,9422.0176,28.000000000000004,88.0,60.0,40.4353,10353.0,10225.0,10079.5,9613.0,9295.1667,NaN,85.8696,77.0378,68.62818590704647,75.90426174609405,1.9111,1.8487,0.0624,463050.KS,NaN
2024-06-28,10300.0,10370.0,10185.0,10370.0,50412,0.0,0.7,Hold,58.964143426294825,10689.8464,10133.0,9576.1536,24.0,84.0,60.0,47.3016,10354.0,10259.0,10133.0,9618.5,9302.0417,NaN,85.1449,78.3425,64.6551724137931,69.38239213726469,1.8849,1.8559,0.029,463050.KS,NaN
