Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2024-06-17,0.12888899445533752,0.13694000244140625,0.1380230039358139,0.12649500370025635,0.12888899445533752,960646592,1969600.417122342,0,0.003922380844464918,1969600.4131999612,15281370.0,2331.605453237459,81000,,25.84678198478659,9.5884,13.6995,0.1716,0.1275,0.1357,0.1496,0.1521,0.1548,0.1185,0.684777021408081,12.0,100.0,-1.5915,DOGE-USD,81.4112545287109,260.0,499.6026306152344
2024-06-18,0.12229599803686142,0.12886600196361542,0.12910300493240356,0.11539199948310852,0.12229599803686142,1413960450,1868850.3994429337,0,0.003922380844464918,1868850.395520553,15281370.0,2207.222715361647,81000,,19.540373389384285,10.5996,12.3682,0.1716,0.1234,0.1319,0.1475,0.1516,0.1551,0.1187,0.684777021408081,7.9999999999999964,100.0,-1.9059,DOGE-USD,81.95411824516809,260.0,500.9337463378906
2024-06-20,0.12441900372505188,0.12234099954366684,0.12826600670814514,0.12145400047302246,0.12441900372505188,734399819,1901292.8348762768,0,0.003922380844464918,1901292.830953896,15281370.0,2247.2751047855268,81000,,20.95913621970439,15.2995,12.8849,0.1706,0.1172,0.127,0.1439,0.1503,0.1557,0.1192,0.684777021408081,0.0,92.0,-1.8246,DOGE-USD,81.38694775540077,260.0,499.54302978515625
2024-06-21,0.1240290030837059,0.12443000078201294,0.12549999356269836,0.12161699682474136,0.1240290030837059,598393023,1895333.0907756316,0,0.003922380844464918,1895333.0868532509,15281370.0,2239.9173960192984,81000,,25.758960811224867,16.4819,13.6436,0.1691,0.1151,0.1244,0.1421,0.1497,0.1561,0.1194,0.684777021408081,0.0,88.0,-1.6153,DOGE-USD,80.94132357804855,260.0,498.4503479003906
2024-06-24,0.11904300004243851,0.12224899977445602,0.12367500364780426,0.11473099887371063,0.11904300004243851,951099440,1819140.1334808993,0,0.003922380844464918,1819140.1295585185,15281370.0,2145.8520166430853,81000,,24.33431685164996,13.0697,13.1074,0.1626,0.1104,0.1227,0.1365,0.1481,0.157,0.1201,0.684777021408081,0.0,100.0,-1.1348,DOGE-USD,80.3944025097741,260.0,497.1092834472656
2024-06-25,0.12615300714969635,0.11903300136327744,0.12823599576950073,0.11889500170946121,0.12615300714969635,783244352,1927790.782789536,0,0.003922380844464918,1927790.7788671553,15281370.0,2279.9886207278223,81000,,38.175527843205714,14.9951,13.4539,0.1578,0.1115,0.1231,0.1347,0.1477,0.1573,0.1203,0.684777021408081,24.0,96.0,-0.6454,DOGE-USD,81.23706220958725,260.0,499.1755065917969
2024-06-26,0.12267900258302689,0.1261499971151352,0.12852199375629425,0.12191999703645706,0.12267900258302689,526276880,1874703.2336245703,0,0.003922380844464918,1874703.2297021896,15281370.0,2214.448436573544,81000,,24.39187126929758,16.0006,14.0567,0.1532,0.1124,0.1228,0.1328,0.1473,0.1575,0.1205,0.684777021408081,19.999999999999996,92.0,-0.4273,DOGE-USD,81.4639254271484,260.0,499.7317810058594
2024-06-27,0.126910999417305,0.12267199903726578,0.1281149983406067,0.12063000351190567,0.126910999417305,616932730,1939373.9430880027,0,0.003922380844464918,1939373.939165622,15281370.0,2294.288818627164,81000,,34.283448546630765,24.5574,15.5536,0.1509,0.1125,0.1234,0.1317,0.147,0.1576,0.1208,0.684777021408081,16.000000000000004,88.0,-0.0082,DOGE-USD,81.77992592604446,260.0,500.5066223144531
2024-06-28,0.12278900295495987,0.126910001039505,0.12797600030899048,0.12236099690198898,0.12278900295495987,634763078,1876384.1900082158,0,0.003922380844464918,1876384.186085835,15281370.0,2216.523691368168,81000,,35.85087566100155,24.5552,16.9492,0.1489,0.1122,0.1235,0.1305,0.1466,0.1576,0.121,0.684777021408081,12.0,84.0,0.1011,DOGE-USD,80.99282456522583,260.0,498.5766296386719
2024-07-01,0.12344200164079666,0.12430399656295776,0.1272359937429428,0.12324800342321396,0.12344200164079666,452573746,1887357.9298233355,0,0.08667648989933241,1887357.8431468457,15289430.0,2201.6560119796777,82000,Buy all cash Monthly invest,42.75454286157713,23.6491,19.8798,0.1425,0.1126,0.1238,0.1275,0.1462,0.1571,0.1217,0.684777021408081,0.0,72.0,0.4858,DOGE-USD,80.55901068916901,262.0,499.7230529785156
2024-07-02,0.1250160038471222,0.1234389990568161,0.1250939965248108,0.12246199697256088,0.1250160038471222,408063753,1911423.5263767953,0,0.08667648989933241,1911423.4397003055,15289430.0,2231.0043004595063,82000,,54.17562721964555,27.9653,20.9312,0.1386,0.1144,0.1235,0.1265,0.1459,0.1566,0.1219,0.684777021408081,0.0,68.0,0.6632,DOGE-USD,81.87452127455934,262.0,502.96295166015625
2024-07-03,0.11847099661827087,0.12501899898052216,0.1253259927034378,0.11704500019550323,0.11847099661827087,657681923,1811354.096501779,0,0.08667648989933241,1811354.0098252892,15289430.0,2108.968410368023,82000,,45.04735128933839,23.3764,21.6684,0.1358,0.1149,0.1226,0.1254,0.1452,0.1563,0.1221,0.684777021408081,16.000000000000004,64.0,0.4546,DOGE-USD,82.79740464374206,262.0,505.2358703613281
2024-07-05,0.10559400171041489,0.10485299676656723,0.10641799867153168,0.09379500150680542,0.10559400171041489,1709690679,1614472.1842477585,0,0.08667648989933241,1614472.0975712687,15289430.0,1868.8685173753154,82000,,31.88847894505227,13.7221,21.8013,0.1362,0.1083,0.1155,0.1223,0.1434,0.1554,0.1223,0.684777021408081,7.9999999999999964,100.0,-0.7934,DOGE-USD,84.02387214462597,262.0,508.2564697265625
2024-07-08,0.1075809970498085,0.10423500090837479,0.1110209971666336,0.0991630032658577,0.1075809970498085,1023119021,1644852.2103997434,0,0.08667648989933241,1644852.1237232536,15289430.0,1905.9173297557847,82000,,41.40264018287337,38.0238,24.889,0.1343,0.104,0.1072,0.1192,0.1414,0.1538,0.1228,0.684777021408081,0.0,88.0,-0.7581,DOGE-USD,84.22220551654482,262.0,508.7449340820313
2024-07-09,0.10751300305128098,0.10756999999284744,0.1092199981212616,0.10613799840211868,0.10751300305128098,572733013,1643812.6209188367,0,0.08667648989933241,1643812.5342423469,15289430.0,1904.6495377058984,82000,,34.36713496587578,36.2535,25.9665,0.1343,0.1025,0.1077,0.1184,0.1408,0.1532,0.1229,0.684777021408081,0.0,84.0,-0.6211,DOGE-USD,84.44888992900772,262.0,509.30322265625
2024-07-10,0.10802199691534042,0.1075190007686615,0.11043000221252441,0.1059039980173111,0.10802199691534042,552090147,1651594.8469738031,0,0.08667648989933241,1651594.7602973133,15289430.0,1914.1400572851257,82000,,37.06422652987255,40.0562,27.6684,0.1339,0.1013,0.1082,0.1176,0.1402,0.1527,0.123,0.684777021408081,7.9999999999999964,80.0,-0.4245,DOGE-USD,86.44037705058976,262.0,514.2079467773438
2024-07-11,0.10666699707508087,0.108024001121521,0.11217900365591049,0.10631100088357925,0.10666699707508087,546104180,1630877.6717661435,0,0.08667648989933241,1630877.5850896537,15289430.0,1888.8752094709066,82000,,31.177473352977657,39.1789,29.2214,0.1334,0.1,0.1068,0.1167,0.1396,0.1522,0.1232,0.684777021408081,4.0000000000000036,76.0,-0.3032,DOGE-USD,84.65127521974556,262.0,509.8016662597656
2024-07-12,0.10768499970436096,0.10666400194168091,0.10826600342988968,0.10503199696540833,0.10768499970436096,468503073,1646442.3517063374,0,0.08667648989933241,1646442.2650298476,15289430.0,1907.8565264711433,82000,,35.096303072996776,39.344,30.3592,0.1327,0.0991,0.1075,0.1159,0.1389,0.1516,0.1233,0.684777021408081,0.0,72.0,-0.1008,DOGE-USD,85.93035570933169,262.0,512.9518432617188
2024-07-15,0.12522800266742706,0.1154709979891777,0.12535199522972107,0.11478900164365768,0.12522800266742706,865334768,1914664.8674999292,0,0.08667648989933241,1914664.7808234394,15289430.0,2234.9571554877184,82000,,51.40285375425325,68.7726,41.5033,0.1316,0.0988,0.1135,0.1152,0.1373,0.1507,0.1237,0.684777021408081,24.0,60.0,1.7251,DOGE-USD,86.56178592089218,262.0,514.5069580078125
2024-07-16,0.12493100017309189,0.1251640021800995,0.12725700438022614,0.11937099695205688,0.12493100017309189,1023424280,1910123.868652966,0,0.08667648989933241,1910123.7819764763,15289430.0,2229.4193520158124,82000,,49.93186514637975,81.1974,47.1948,0.132,0.0987,0.1171,0.1153,0.1368,0.1506,0.1239,0.684777021408081,19.999999999999996,56.00000000000001,2.2122,DOGE-USD,87.74777140715294,262.0,517.4278564453125
2024-07-17,0.12188400328159332,0.12493299692869186,0.12750600278377533,0.1206429973244667,0.12188400328159332,731025036,1863537.0229701812,0,0.08667648989933241,1863536.9362936914,15289430.0,2172.6061255733916,82000,,52.8982248478781,87.8048,52.6069,0.1311,0.099,0.12,0.1151,0.1363,0.1505,0.1241,0.684777021408081,16.000000000000004,52.0,2.2787,DOGE-USD,84.81317849586017,262.0,510.2004089355469
2024-07-18,0.11949600279331207,0.12187899649143219,0.1238429993391037,0.11757300049066544,0.11949600279331207,710080580,1827025.8566646392,0,0.08667648989933241,1827025.7699881494,15289430.0,2128.0803130056574,82000,,65.31823915329761,83.0464,57.1092,0.1307,0.0991,0.1214,0.1149,0.1358,0.1502,0.1243,0.684777021408081,12.0,48.0,2.1118,DOGE-USD,83.2548006051089,262.0,506.36236572265625
2024-07-19,0.12547999620437622,0.11950100213289261,0.1260560005903244,0.11790800094604492,0.12547999620437622,724349409,1918517.7050435657,0,0.08667648989933241,1918517.618367076,15289430.0,2239.655737858007,82000,,68.77383874964356,84.1355,61.8974,0.1313,0.0989,0.1234,0.1151,0.1351,0.15,0.1245,0.684777021408081,7.9999999999999964,43.99999999999999,2.2567,DOGE-USD,81.88261272100833,262.0,502.9828796386719
2024-07-22,0.13788099586963654,0.1401669979095459,0.14246900379657745,0.1362140029668808,0.13788099586963654,1468393831,2108121.921355587,0,0.08667648989933241,2108121.834679097,15289430.0,2470.8803918970575,82000,,80.80145648855563,93.5377,77.8095,0.1397,0.0944,0.1315,0.1171,0.1337,0.1493,0.1253,0.684777021408081,96.0,31.999999999999996,3.2063,DOGE-USD,84.00363733290894,262.0,508.2066345214844
2024-07-23,0.13039100170135498,0.13788199424743652,0.13920199871063232,0.12848900258541107,0.13039100170135498,963364309,1993604.1798192377,0,0.08667648989933241,1993604.0931427479,15289430.0,2331.224609535656,82000,,70.20739569835722,85.9206,82.0511,0.1411,0.0942,0.1337,0.1177,0.1331,0.149,0.1255,0.684777021408081,92.0,28.000000000000004,2.6664,DOGE-USD,83.6595711865845,262.0,507.3592529296875
2024-07-24,0.12808799743652344,0.13038599491119385,0.13462699949741364,0.1272439956665039,0.12808799743652344,734879689,1958392.5573223943,0,0.08667648989933241,1958392.4706459045,15289430.0,2288.2836064907247,82000,,67.17920828292563,77.7509,84.6329,0.1419,0.0958,0.1342,0.1188,0.1324,0.1485,0.1257,0.684777021408081,88.0,24.0,2.0756,DOGE-USD,78.94396789089653,262.0,495.7454528808594
2024-07-25,0.12522099912166595,0.12808899581432343,0.12864099442958832,0.12032300233840942,0.12522099912166595,970420635,1914557.787277263,0,0.08667648989933241,1914557.700600773,15289430.0,2234.8265698503205,82000,,65.48386374715227,67.7132,84.5269,0.1422,0.0975,0.1323,0.1198,0.1317,0.148,0.1259,0.684777021408081,84.0,19.999999999999996,1.4517,DOGE-USD,77.92798951838847,262.0,493.2432556152344
2024-07-26,0.13431799411773682,0.12522199749946594,0.1348779946565628,0.12520000338554382,0.13431799411773682,752603628,2053645.6554800386,0,0.08667648989933241,2053645.5688035488,15289430.0,2404.4459213171203,82000,,69.58510448983242,69.6441,83.3716,0.1439,0.0978,0.1312,0.1209,0.1311,0.1473,0.1261,0.684777021408081,80.0,16.000000000000004,1.4386,DOGE-USD,80.17447491941047,262.0,498.7760009765625
2024-07-29,0.1286740005016327,0.13007600605487823,0.1349489986896515,0.12795500457286835,0.1286740005016327,809333955,1967352.2101661677,0,0.08667648989933241,1967352.123489678,15289430.0,2299.2100123977652,82000,,53.071629153414236,67.2544,79.0272,0.1444,0.1044,0.13,0.1244,0.1295,0.1452,0.1266,0.684777021408081,68.0,4.0000000000000036,0.603,DOGE-USD,80.32424722144613,262.0,499.1448669433594
2024-07-30,0.12559500336647034,0.12866200506687164,0.13030600547790527,0.12366200238466263,0.12559500336647034,638122391,1920276.0989979024,0,0.08667648989933241,1920276.0123214126,15289430.0,2241.800120729149,82000,,50.563899997962594,60.6561,76.182,0.1437,0.1068,0.1301,0.1253,0.1289,0.1446,0.1268,0.684777021408081,64.0,0.0,0.2091,DOGE-USD,79.26373491549583,262.0,496.5329895019531
2024-07-31,0.12201400101184845,0.12559300661087036,0.12720100581645966,0.12154299765825272,0.12201400101184845,609802169,1865524.6141670758,0,0.08667648989933241,1865524.527490586,15289430.0,2175.030017276922,82000,,50.10940732432124,53.5952,72.036,0.1424,0.1097,0.1276,0.126,0.1283,0.1441,0.1269,0.684777021408081,60.0,7.9999999999999964,-0.2414,DOGE-USD,82.44120752333863,262.0,504.3586120605469
2024-08-01,0.11923599988222122,0.12202099710702896,0.12293200194835663,0.11282800137996674,0.11923599988222122,861079384,1824045.5852336243,0,0.08713537767766866,1824045.4980982468,15297775.0,2097.645283414005,83000,Buy all cash Monthly invest,49.782606176733076,43.9126,67.0735,0.1409,0.1123,0.1251,0.1266,0.1277,0.1436,0.127,0.684777021408081,56.00000000000001,4.0000000000000036,-0.6656,DOGE-USD,78.77012651970041,264.0,497.4800415039063
2024-08-02,0.11150799691677094,0.11923500150442123,0.11951299756765366,0.11056700348854065,0.11150799691677094,826720039,1705824.334668833,0,0.08713537767766866,1705824.2475334555,15297775.0,1955.2100417696786,83000,,38.64876964427658,26.8655,61.168,0.1411,0.1121,0.1214,0.1266,0.1269,0.143,0.1271,0.684777021408081,52.0,0.0,-1.3068,DOGE-USD,75.09460328669428,264.0,488.3883666992188
2024-08-05,0.0945030003786087,0.10373199731111526,0.10416600108146667,0.08083099871873856,0.0945030003786087,3194029250,1445685.7237522483,0,0.08713537767766866,1445685.6366168708,15297775.0,1641.7900286171666,83000,,14.774568214236794,12.9185,43.0478,0.147,0.1003,0.1074,0.1236,0.1239,0.1409,0.1272,0.684777021408081,40.0,100.0,-3.0312,DOGE-USD,69.16621265334757,264.0,473.72406005859375
