Date,Close,shares,invested_amount,rate,Close_vs,shares_vs,invested_amount_vs,rate_vs
2020-04-30,46.83000183105469,22743.03122047396,64000,1564.1503026539522,249.09127807617188,325.712737695108,64000,26.76906580963027
2020-05-01,43.25,22766.03757597967,65000,1414.8171156324934,242.3021545410156,329.8192834148798,65000,22.947573816306495
2020-05-04,43.97999954223633,22766.03757597967,65000,1440.3851110309554,243.06689453125,329.8192834148798,65000,23.33561380950313
2020-05-05,44.369998931884766,22766.03757597967,65000,1454.044712199179,245.3050842285156,329.8192834148798,65000,24.47130322811653
2020-05-06,52.68000030517578,22766.03757597967,65000,1745.0997945388497,243.65435791015625,329.8192834148798,65000,23.633701118215978
2020-05-07,54.4900016784668,22766.03757597967,65000,1808.4945011187237,246.5359802246093,329.8192834148798,65000,25.095877436408635
2020-05-08,57.27999877929688,22766.03757597967,65000,1906.2132377869882,250.65798950195312,329.8192834148798,65000,27.187443814997923
2020-05-11,59.58000183105469,22766.03757597967,65000,1986.7700930195824,250.69532775878903,329.8192834148798,65000,27.206389779788037
2020-05-12,59.27000045776367,22766.03757597967,65000,1975.9123962304309,245.6500701904297,329.8192834148798,65000,24.646354032342227
2020-05-13,57.470001220703125,22766.03757597967,65000,1912.868011203269,241.29495239257807,329.8192834148798,65000,22.436505061150214
2020-05-14,56.97999954223633,22766.03757597967,65000,1895.7058625505485,244.2045745849609,329.8192834148798,65000,23.912888917303665
2020-05-15,58.380001068115234,22766.03757597967,65000,1944.7404584652993,245.3050842285156,329.8192834148798,65000,24.47130322811653
2020-05-18,64.41999816894531,22766.03757597967,65000,2156.289383013462,252.802978515625,329.8192834148798,65000,28.275841875647224
2020-05-19,67.04000091552734,22766.03757597967,65000,2248.0541229793953,250.4155120849609,329.8192834148798,65000,27.064407310510735
2020-05-20,64.16999816894531,22766.03757597967,65000,2147.5332147150084,254.5001983642578,329.8192834148798,65000,29.137035466837364
2020-05-21,59.93000030517578,22766.03757597967,65000,1999.0286751940075,252.67239379882807,329.8192834148798,65000,28.209581325310463
2020-05-22,56.41999816894531,22766.03757597967,65000,1876.0919974629435,253.24127197265625,329.8192834148798,65000,28.498238235529485
2020-05-26,58.43000030517578,22766.03757597967,65000,1946.4916654032852,256.4960021972656,329.8192834148798,65000,30.149734836128594
