Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2020-04-06,173.18321228027344,173.8621470249078,177.06031175780427,170.27985192672543,173.18321228027344,2090400,87823.95177848816,0,20.063152389533343,87803.88862609863,507.0,35.113771966904864,65000,,45.758514846331245,172.2095,173.8331,200.1305,200.8326,196.4378,227.2205047607422,0.5986,APD,16.035336163682224,333.0,226.3858184814453
2020-04-07,180.48182678222656,177.4265997325179,183.79613056453047,177.10499616774263,180.48182678222656,1383800,91524.3493309784,0,20.063152389533343,91504.28617858887,507.0,40.80669127842831,65000,,50.72763731000223,172.6419,173.3347,199.7067,200.7527,196.4629,227.2205047607422,0.9456,APD,16.097263982567434,333.0,226.50669860839844
2020-04-08,192.7473907470703,181.76822779512622,194.37327910364704,179.62421327374284,192.7473907470703,1804000,97742.99026115418,0,20.063152389533343,97722.92710876465,507.0,50.37383117100642,65000,,60.404995633503475,177.373,173.7505,199.4154,200.7824,196.5284,227.2205047607422,1.5947,APD,20.035777893888064,333.0,234.19448852539065
2020-04-09,195.9276885986328,192.18458506884966,198.85784799117727,192.18458506884966,195.9276885986328,1744000,99355.40127189636,0,20.063152389533343,99335.33811950684,507.0,52.854463495225176,65000,,62.41710659195536,181.8075,175.2159,199.2117,200.8374,196.6034,227.2205047607422,2.0612,APD,21.81692577737664,333.0,237.67120361328125
2020-04-13,193.13153076171875,194.9271425455388,196.52623170994644,190.7373680853138,193.13153076171875,1096700,97937.74924858093,0,20.063152389533343,97917.6860961914,507.0,50.67346038243221,65000,,67.32098611440591,187.0943,175.7148,198.9476,200.8654,196.6587,227.2205047607422,2.1728,APD,20.635849234595693,333.0,235.3657989501953
2020-04-14,197.24087524414062,198.00022101577173,200.3586421675104,195.18620057984057,197.24087524414062,965400,100021.18690116882,0,20.063152389533343,100001.1237487793,507.0,53.87874907872128,65000,,63.253391280752886,191.9059,177.5734,198.7473,200.9377,196.7444,227.2205047607422,2.294,APD,24.31721651599592,333.0,242.55165100097656
2020-04-15,191.0143280029297,195.88303752040702,195.88303752040702,189.41523873337738,191.0143280029297,1042400,96864.32744987488,0,20.063152389533343,96844.26429748535,507.0,49.02204223057674,65000,,61.07322952266351,194.0124,178.0223,198.4251,201.0063,196.7842,227.2205047607422,2.0523,APD,21.612154354036782,333.0,237.27149963378903
2020-04-16,190.17457580566406,191.568186605921,192.30966181504476,188.98642976921118,190.17457580566406,974400,96438.57308586121,0,20.063152389533343,96418.50993347168,507.0,48.36703551670956,65000,,56.5025012147275,193.4978,178.5859,198.0862,201.0451,196.8133,227.2205047607422,1.7796,APD,22.22649989283636,333.0,238.47067260742188
2020-04-17,197.87515258789062,194.26605873711148,199.9655685355891,191.72002987657163,197.87515258789062,1755600,100342.76551445007,0,20.063152389533343,100322.70236206055,507.0,54.37348540684628,65000,,64.89845058302272,193.8873,180.0019,197.8629,201.1377,196.8877,227.2205047607422,1.7891,APD,25.598267165785597,333.0,245.0522003173828
2020-04-20,191.5056610107422,196.07957990688828,197.58931597013662,190.47832348067337,191.5056610107422,800500,97113.43328483582,0,20.063152389533343,97093.37013244629,507.0,49.40528197667049,65000,,54.9280868693893,193.5621,181.1832,197.5446,201.164,196.9531,227.2205047607422,1.4908,APD,23.336135090402465,333.0,240.6366271972656
