Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,ytd,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Penalty,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State
86,MRVL,Semiconductors,404.7,100.0,1.3,24.8,65.1,72.4,98.4,94.0,105.6,119.5,179.2,404.7,357.3,-14.2,2.2,95.1,23.5,545.1,50.0,50.0,15.89,142.69,-8,-8.700000000000003,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
87,GOOGL,Internet Conglomerates,268.4,100.0,0.0,10.2,12.5,16.7,49.5,71.3,91.1,114.5,167.0,268.4,268.5,-11.4,1.3,108.8,13.6,408.7,60.0,62.0,4.44,142.84,2,0.1999999999999993,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
88,PL,Aerospace & Defense,701.3,90.3,-1.1,5.3,25.8,80.7,301.8,768.5,899.8,709.8,,701.3,769.7,-88.8,1.3,194.1,-1.1,758.1,30.0,28.0,12.5,144.3,2,1.1999999999999997,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
89,PHM,Residential Construction,93.9,41.8,-5.2,-5.6,-10.2,-9.7,-11.9,-20.8,-22.2,13.9,35.8,93.9,254.9,-29.3,1.2,297.9,195.4,234.3,120.0,124.0,45.33,144.53,5,52.30000000000001,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
90,GE,Aerospace & Defense,169.7,72.1,-2.1,-6.4,-11.3,-11.2,-8.3,11.0,52.3,164.9,239.1,169.7,260.3,-96.0,1.1,235.0,47.9,310.0,90.0,91.0,26.69,146.29,2,4.100000000000001,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
91,MS,Investment Banking & Brokerage,185.4,93.3,-2.8,1.3,2.4,4.4,13.7,31.8,48.4,58.3,116.0,185.4,200.4,-20.8,1.1,137.1,21.5,325.7,86.0,87.0,8.89,147.09,0,2.1000000000000014,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
92,WMB,Oil & Gas Midstream,196.8,93.3,-1.7,-2.1,1.4,11.9,14.9,32.9,61.4,114.1,181.8,196.8,215.4,-57.9,1.1,143.6,23.9,337.1,80.0,81.0,14.35,147.75,1,-2.5,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL
93,HUBB,Electrical Components & Equipment,137.0,78.8,-1.5,-4.7,-3.8,1.5,6.0,5.8,5.9,40.7,84.5,137.0,180.6,-24.9,1.3,139.5,42.8,277.4,101.0,104.0,16.19,150.19,3,14.699999999999996,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
94,NFLX,Broadcasting & Cable TV,63.0,39.3,-6.2,-11.7,-9.2,-14.7,-28.6,-21.7,-5.6,25.2,7.9,63.0,279.9,-76.6,1.3,415.8,186.3,203.3,142.0,147.0,45.33,150.73,-7,37.5,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
95,LITE,Communication Equipment,1463.2,100.0,0.3,11.9,52.4,137.9,506.9,996.5,1273.1,1210.5,1190.1,1463.2,1463.0,-109.6,1.7,248.6,-5.0,1603.6,9.0,9.0,27.33,151.53,4,3.5999999999999996,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER
96,GS,Investment Banking & Brokerage,173.2,83.9,-2.1,-2.3,-2.1,1.4,10.8,33.4,63.9,85.0,140.5,173.2,212.9,-35.7,1.1,147.8,22.7,313.6,88.0,89.0,14.8,152.0,1,2.5,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
97,SNPS,Electronic Design Automation Software,108.0,35.8,3.6,9.3,9.5,7.3,-6.0,-19.3,-33.4,-31.6,-9.3,108.0,309.4,-4.1,1.6,366.9,310.2,248.4,114.0,118.0,64.59,152.19,4,-40.69999999999999,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL
98,BAESY,Aerospace & Defense,150.3,76.2,0.0,-19.5,-10.3,2.3,-1.2,20.8,32.5,88.4,143.9,150.3,218.5,-65.9,1.2,175.8,34.9,289.7,95.0,98.0,20.74,153.74,2,1.0,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
99,MPC,Oil & Gas Refining & Marketing,222.7,91.4,5.6,2.2,18.4,26.0,32.5,34.3,30.7,84.7,194.1,222.7,251.1,-77.8,1.3,119.5,30.5,363.0,70.0,75.0,24.78,155.38,-4,-13.399999999999999,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL
100,GRMN,Scientific & Technical Instruments,117.6,68.7,-15.4,-7.6,-3.4,2.7,-1.6,-0.2,18.8,32.7,40.0,117.6,174.5,-6.4,1.2,180.7,54.2,257.9,110.0,115.0,28.29,156.49,-2,17.800000000000004,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
101,BLDR,Building Materials,42.2,9.7,-7.1,-16.5,-28.9,-33.1,-44.7,-63.9,-80.0,-73.4,-29.9,42.2,761.1,-34.7,1.4,2621.4,3760.0,181.6,163.0,168.0,80.33,157.33,-15,1677.3000000000002,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH
102,TER,Semiconductors,430.0,79.7,3.5,3.4,14.2,45.5,141.6,158.1,168.9,162.5,195.5,430.0,539.1,-50.5,2.4,122.2,14.3,570.3,47.0,47.0,27.33,157.93,2,3.1000000000000014,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
103,RSG,Environmental Services,21.0,18.9,-5.5,-9.9,-11.5,-10.4,-20.6,-25.2,-27.3,-20.9,-11.3,21.0,149.9,-8.6,1.6,445.4,361.8,161.4,182.0,187.0,46.44,158.24,5,112.4,STRONG_DOWN,LOWER,NEUTRAL,S5_TRASH
104,MSFT,Software,66.0,36.6,0.2,-0.1,-2.5,-11.4,-21.6,-26.1,-33.5,-33.3,-25.4,66.0,201.5,-12.1,1.3,365.7,237.5,206.3,139.0,144.0,58.06,159.26,1,66.19999999999999,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
105,TPR,Luxury Goods,239.4,80.0,-3.9,-6.9,-5.4,3.9,21.3,90.1,145.8,188.3,294.6,239.4,323.5,-95.4,1.1,192.8,15.7,379.8,67.0,70.0,29.82,161.62,2,2.3999999999999986,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
106,COHR,,532.0,93.5,4.7,13.2,26.1,60.9,155.5,233.1,366.7,401.9,448.9,532.0,574.7,-81.6,1.6,124.4,4.9,672.3,35.0,36.0,29.22,162.82,3,-0.7999999999999998,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
107,GEV,Electrical Equipment,230.7,86.8,-2.7,7.3,20.2,43.7,65.9,196.0,,,,230.7,230.7,-7.2,1.3,116.6,18.4,253.3,113.0,72.0,17.5,163.3,3,2.299999999999997,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
108,CAH,Healthcare Distribution,143.6,73.8,1.7,-8.5,-12.3,-10.4,-0.7,22.1,32.4,100.5,147.8,143.6,224.4,-81.7,1.1,173.3,31.5,284.0,97.0,100.0,27.48,163.68,-6,6.199999999999999,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
109,COR,Biotechnology,114.5,58.9,-2.0,-7.0,-14.0,-15.3,-14.2,-6.8,-5.3,18.9,65.0,114.5,218.4,-33.7,1.2,256.7,83.7,254.8,112.0,117.0,49.78,164.18,-6,12.100000000000009,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
110,ADI,Semiconductors,153.2,93.4,-3.1,14.0,14.9,32.2,46.2,50.7,53.5,66.8,89.0,153.2,164.9,-7.8,1.9,45.2,8.1,292.6,94.0,95.0,4.44,164.44,1,-1.3000000000000007,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
111,HLT,Lodging,87.6,74.4,-9.9,-5.6,-4.0,1.0,2.3,4.8,12.2,26.5,43.9,87.6,125.4,-21.3,1.2,104.7,29.7,228.0,123.0,128.0,11.6,165.6,1,7.800000000000001,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
112,ISRG,Health Care Equipment,10.0,12.3,-3.1,-7.5,-11.5,-17.3,-22.1,-29.4,-29.2,-25.1,-26.2,10.0,156.3,-10.3,1.6,653.8,633.7,150.4,193.0,199.0,57.89,166.09,4,282.30000000000007,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH
113,RCL,Travel Services,66.7,53.5,-0.6,-8.9,-15.4,-13.3,-19.2,-1.9,32.6,119.4,121.1,66.7,219.6,-108.0,1.3,220.2,58.9,207.0,138.0,143.0,34.47,168.07,2,-1.6000000000000014,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL
114,ORLY,Auto Parts,72.8,60.0,-8.3,-4.7,-5.4,-6.0,-12.7,-10.6,-13.7,1.4,25.7,72.8,154.4,-48.4,1.2,179.7,66.9,213.2,133.0,139.0,36.44,169.04,4,-7.199999999999989,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL
115,JCI,Building Products,171.6,92.3,-3.0,-1.8,2.1,8.9,15.7,39.8,58.0,68.6,117.1,171.6,189.0,-32.8,1.1,111.7,15.1,312.0,89.0,90.0,21.41,169.41,-1,-0.3000000000000007,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
116,META,Internet Content & Information,45.3,52.2,-2.1,-3.5,-9.8,-11.3,-19.9,-20.0,-7.0,41.4,36.0,45.3,170.6,-91.5,1.2,208.4,87.8,185.6,159.0,164.0,38.33,172.53,-10,31.599999999999994,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
117,JPM,Diversified Banks,89.7,73.2,-4.2,-3.6,-3.2,-5.0,-5.7,4.3,19.9,39.9,55.8,89.7,131.1,-22.3,1.1,133.3,30.6,230.0,122.0,127.0,23.54,172.74,2,4.0,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
118,AMZN,Internet Retail,61.3,49.5,1.1,17.4,16.0,11.8,10.0,8.1,14.4,16.5,5.2,61.3,152.6,-27.7,1.3,78.5,40.2,200.7,143.0,149.0,15.89,173.89,-1,-5.199999999999996,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL
119,RL,Apparel Manufacturing,122.8,82.5,-0.5,-4.7,-4.6,-3.3,4.7,30.3,63.9,110.5,138.3,122.8,164.2,-70.2,1.1,119.4,14.7,263.1,108.0,112.0,19.73,175.13,2,2.299999999999999,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
120,WMT,Hypermarkets & Super Centers,126.5,85.6,-3.3,-3.3,-1.2,6.0,10.5,25.0,46.1,72.9,80.5,126.5,152.9,-28.0,1.2,104.0,17.5,266.8,106.0,110.0,22.23,176.23,2,-0.6999999999999993,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
121,CRWD,Cybersecurity Software,122.5,59.6,7.9,7.4,10.2,0.8,-6.3,5.6,31.0,51.1,,122.5,175.3,-38.3,1.3,182.5,63.7,206.1,140.0,113.0,46.25,176.25,-1,-8.399999999999991,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER
122,GLW,Electronic Components,411.0,87.3,-2.5,2.7,15.3,44.2,103.6,187.2,266.0,304.7,354.6,411.0,480.0,-58.2,1.2,127.7,1.8,551.3,49.0,49.0,36.22,177.22,5,0.5,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
123,AXP,Consumer Finance,52.0,52.4,1.6,-4.0,-6.3,-11.8,-11.4,-8.6,4.1,13.4,28.7,52.0,125.3,-28.1,1.2,155.4,56.6,191.3,156.0,161.0,31.17,177.57,0,0.30000000000000426,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
124,CRH,Building Materials,79.3,64.8,-10.1,-3.7,-7.9,-10.3,-8.4,-4.1,7.4,45.2,68.0,79.3,147.4,-45.2,1.2,153.1,47.4,219.7,128.0,135.0,35.48,177.68,1,7.199999999999996,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
125,AMP,Asset Management,80.0,43.0,-0.3,-3.0,-7.9,-6.5,-15.3,-23.2,-24.2,-15.7,23.8,80.0,218.6,-24.3,1.3,313.4,189.1,219.4,129.0,134.0,75.33,177.73,4,24.900000000000006,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL
126,FCX,Copper Mining,101.5,54.8,-1.2,-7.3,-11.0,3.2,13.6,9.0,1.2,-8.3,64.1,101.5,208.6,-56.5,1.7,99.3,48.2,241.9,117.0,121.0,36.28,178.08,0,4.200000000000003,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
127,HCA,Hospitals,77.0,50.1,-3.2,-10.8,-15.7,-15.9,-11.2,-7.2,-7.5,-1.0,27.2,77.0,180.8,-26.7,1.3,201.9,77.8,217.4,130.0,136.0,52.89,178.69,-3,8.599999999999994,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
128,381180.KS,Asset Management,152.1,91.4,-8.6,23.1,28.1,36.9,64.9,75.4,101.4,152.1,,152.1,148.6,-10.3,1.6,45.1,8.2,208.8,137.0,97.0,12.5,181.3,3,0.7999999999999989,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
129,MSI,Public Safety Technology,76.6,45.0,-1.6,-4.7,-5.0,0.1,-8.3,-16.2,-15.7,-4.9,10.7,76.6,183.0,-10.2,1.3,234.3,141.2,217.0,132.0,138.0,69.89,182.29,4,6.0,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING
130,WELL,Healthcare REITs,99.1,89.4,-4.3,-2.2,0.7,3.3,9.0,27.5,51.3,75.9,92.9,99.1,117.6,-51.9,1.1,72.5,7.9,239.4,118.0,122.0,14.51,182.91,2,0.9000000000000004,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
131,ALNY,Biotechnology,12.2,25.7,-4.0,-19.9,-17.5,-27.6,-30.3,-16.2,-10.6,-12.4,-4.0,12.2,206.0,-54.2,1.4,344.1,129.2,151.5,191.0,195.0,50.89,183.69,-1,20.299999999999983,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
132,KMI,Oil & Gas Midstream,70.3,72.9,-4.5,-6.7,-4.9,3.6,2.5,9.1,21.1,42.5,69.2,70.3,118.9,-59.1,1.2,85.3,20.5,210.6,136.0,141.0,20.27,184.67,2,0.1999999999999993,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL
133,WDC,Data Storage Devices,867.1,100.0,0.0,26.6,48.9,105.8,328.5,557.6,754.9,888.5,926.5,867.1,867.6,-100.9,1.8,118.7,-8.3,1007.5,18.0,18.0,45.11,184.91,6,1.3999999999999986,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER
134,DE,Agricultural & Construction Machinery,90.5,57.9,-6.1,-5.1,-4.9,4.9,3.1,7.3,1.3,-7.6,19.9,90.5,162.8,-9.5,1.4,141.2,48.6,230.8,121.0,126.0,47.79,185.79,11,-1.8999999999999986,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL
135,CMI,Industrial Machinery,195.2,99.7,-0.3,7.2,9.2,20.2,48.0,71.4,96.7,123.4,146.9,195.2,195.9,-35.6,1.2,66.9,5.0,335.6,82.0,83.0,29.22,186.02,1,-0.40000000000000036,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
136,BK,Asset Servicing,108.0,90.4,-2.1,0.6,5.1,10.2,18.8,42.7,76.7,102.2,123.7,108.0,125.6,-53.4,1.1,59.8,3.5,247.3,115.0,118.0,13.33,186.73,1,0.20000000000000018,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
137,FSLR,Solar Energy,56.2,33.6,6.7,1.4,0.3,-9.8,-0.3,-7.3,-17.6,1.7,31.4,56.2,269.7,-51.3,1.6,169.0,138.9,196.6,148.0,153.0,63.78,187.78,17,-74.4,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER
138,CF,Fertilizers & Agricultural Chemicals,123.0,64.7,3.0,-3.2,13.1,32.2,33.5,36.6,32.2,30.1,80.4,123.0,221.2,-55.7,1.7,63.3,20.4,263.3,107.0,111.0,33.26,187.86,-3,-2.900000000000002,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT
139,KEYS,Electronic Test & Measurement,216.1,100.0,0.0,6.5,20.8,44.8,72.1,87.2,83.0,62.6,71.1,216.1,216.3,-14.6,3.0,41.1,4.3,356.5,72.0,77.0,35.09,192.09,7,-1.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
140,ODFL,Trucking,76.7,32.9,-10.6,-8.7,-4.3,10.0,10.8,-6.6,-25.5,-35.5,-18.0,76.7,254.8,-15.5,1.7,183.6,205.8,217.1,131.0,137.0,83.04,192.24,-12,99.10000000000001,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
141,CBOE,Financial Data & Stock Exchanges,103.4,100.0,13.0,8.5,13.1,21.1,25.0,36.5,45.2,76.7,92.6,103.4,103.6,-55.4,1.2,34.5,4.2,243.7,116.0,120.0,17.78,193.38,12,-0.8999999999999995,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER
142,ABBV,Biotechnology,50.7,54.0,6.0,-13.9,-13.8,-12.3,-11.6,-11.6,-10.6,-5.1,18.1,50.7,115.5,-24.8,1.2,141.2,56.9,190.0,158.0,163.0,45.89,193.49,-1,-14.300000000000004,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL
143,VLO,Oil & Gas Refining & Marketing,133.3,86.6,-0.6,-1.6,12.8,25.8,46.1,51.1,48.5,76.8,125.6,133.3,167.2,-81.9,1.5,32.5,5.1,273.6,103.0,106.0,26.0,194.8,4,-0.9000000000000004,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL
144,QQQ,Asset Management,54.9,82.8,5.1,1.1,0.5,-0.3,1.1,2.7,3.8,8.5,16.5,54.9,67.3,-4.6,1.1,62.0,16.2,181.8,162.0,155.0,16.86,194.86,-2,0.0,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL
145,SO,Electric Utilities,58.8,62.1,-3.1,-6.4,-4.2,-2.2,-7.4,-10.3,-9.7,-1.7,11.9,58.8,116.9,-35.5,1.2,122.7,50.1,199.2,144.0,151.0,45.89,194.89,-2,-0.10000000000000142,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL
146,MSCI,Financial Index & Analytics,58.5,22.5,-2.6,-2.0,-3.9,-3.7,-7.4,-13.3,-24.1,-39.4,-39.5,58.5,285.4,-7.2,1.3,346.6,307.4,198.9,146.0,152.0,93.78,195.58,-8,60.19999999999999,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
147,TJX,Apparel Retail,40.9,69.4,-4.5,-8.2,-6.8,-4.6,-2.1,1.7,5.1,23.1,27.8,40.9,77.3,-40.2,1.2,62.8,16.0,181.3,164.0,169.0,15.24,196.64,-7,3.0,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
148,DHI,Residential Construction,39.0,27.0,-7.1,-3.6,-6.8,-7.5,-10.6,-21.0,-29.2,-19.9,-4.8,39.0,205.9,-22.5,1.4,246.9,253.6,179.3,167.0,171.0,80.33,196.73,-4,94.1,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
149,WAB,Rail Equipment,58.9,83.9,-6.5,-4.3,-1.1,7.9,11.8,14.9,31.2,63.8,89.4,58.9,82.8,-63.6,1.2,35.4,6.8,199.2,144.0,150.0,20.03,203.43,1,0.5999999999999996,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
150,AZO,Auto Parts,52.2,51.8,-0.7,-5.1,-7.2,-7.4,-16.6,-16.7,-21.1,-13.7,9.3,52.2,146.3,-48.7,1.2,185.5,83.9,191.5,154.0,160.0,70.89,206.29,2,1.5,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL
151,MAR,Lodging,42.9,78.8,-6.7,-2.3,0.4,7.1,12.1,12.4,12.3,27.4,39.7,42.9,68.0,-49.0,1.3,23.8,6.8,183.3,161.0,167.0,15.14,206.94,0,1.0999999999999996,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
152,LYV,Entertainment,32.8,40.0,-2.3,-4.2,-3.3,0.4,-5.2,1.8,6.3,-0.3,0.8,32.8,117.4,-22.9,1.3,119.2,43.5,173.1,175.0,180.0,42.18,207.58,4,0.6000000000000014,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL
153,C,Diversified Banks,95.2,89.0,-1.4,0.3,4.5,8.9,21.1,43.4,74.8,93.7,98.4,95.2,114.7,-58.5,1.2,43.4,-0.3,235.5,119.0,123.0,29.22,210.22,4,0.2,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
154,AJG,Insurance Brokers,-8.4,0.6,-2.2,-13.8,-16.1,-19.4,-34.8,-45.2,-53.6,-53.2,-44.1,-8.4,215.4,-9.3,1.8,0.0,13763.9,131.0,217.0,226.0,81.09,210.49,-41,7649.5,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH
155,FAST,Industrial Distribution,44.8,48.3,-4.4,-8.5,-7.1,-2.5,-9.2,-4.7,-5.2,-1.6,6.3,44.8,108.3,-24.4,1.4,124.9,50.4,185.2,160.0,165.0,57.33,211.53,0,8.199999999999996,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
156,SYF,Consumer Finance,39.4,61.8,-6.6,-2.7,-1.5,-5.5,-3.6,4.0,25.0,30.8,47.4,39.4,104.4,-64.4,1.2,78.8,17.6,179.8,165.0,170.0,34.78,213.38,-7,4.200000000000001,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
157,315960.KS,Dividend,263.4,97.4,0.8,6.5,26.8,60.6,127.9,172.5,196.0,224.8,260.3,263.4,236.4,-74.4,1.8,18.6,-8.0,353.4,74.0,65.0,45.67,213.87,2,-0.5,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
158,PCAR,Farm & Heavy Construction Machinery,34.1,49.5,-9.8,-8.4,-11.1,-3.7,0.5,-4.0,-7.7,14.6,22.6,34.1,112.5,-42.1,1.4,78.6,42.7,174.5,170.0,175.0,49.22,217.22,-10,14.400000000000002,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
159,FER,Infrastructure,51.1,76.3,0.5,-3.1,-5.0,-1.6,7.0,25.1,35.4,58.9,55.0,51.1,84.6,-59.5,1.3,33.8,-1.8,191.5,154.0,162.0,20.64,218.24,1,0.30000000000000004,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
160,BKR,Oil & Gas Equipment & Services,80.4,97.7,-1.9,4.5,8.2,23.3,37.6,45.7,51.3,79.7,129.6,80.4,84.9,-85.4,1.3,8.9,-2.1,219.8,127.0,132.0,29.22,219.22,3,0.10000000000000009,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL
161,HIG,Insurance - Diversified,32.9,65.9,-5.7,-6.2,-6.7,-5.7,-8.6,-8.0,-0.3,10.6,31.3,32.9,77.8,-52.8,1.2,78.5,25.9,173.3,173.0,178.0,42.78,219.38,-3,7.0,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH
162,CBRE,Real Estate Services,8.0,35.1,-1.8,-2.2,-8.5,-11.6,-14.7,-11.2,-5.4,-11.8,-4.3,8.0,80.4,-30.4,1.3,132.4,56.3,148.4,194.0,201.0,55.33,219.53,2,20.0,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
163,ETR,Electric Utilities,55.8,87.6,-2.6,-3.4,4.0,10.4,14.8,33.4,52.4,57.5,50.4,55.8,72.9,-62.1,1.2,21.4,-3.2,196.1,149.0,154.0,25.94,223.34,4,0.6999999999999997,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER
164,WRB,Property & Casualty Insurance,29.1,35.9,-2.3,-4.4,-7.3,-9.5,-16.6,-14.8,-12.0,-4.9,3.4,29.1,107.3,-27.7,1.4,173.6,89.7,169.4,177.0,182.0,79.78,223.38,2,16.400000000000006,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH
165,ALL,Insurance - Property & Casualty,7.4,56.3,1.9,-3.9,-0.7,0.4,-4.2,-5.7,4.4,8.6,9.2,7.4,53.0,-50.7,1.3,30.2,13.4,146.7,196.0,202.0,26.19,226.59,-3,1.200000000000001,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL
166,COIN,Financial Data & Stock Exchanges,0.9,15.4,2.4,3.4,2.7,-12.4,-28.9,-33.5,-7.8,3.0,,0.9,213.9,-58.5,1.6,0.0,452.6,57.7,377.0,210.0,46.83,227.83,13,10.200000000000045,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH
167,SATS,Communication,188.6,82.3,-6.1,-9.1,-5.8,11.9,133.0,263.0,374.7,366.7,301.4,188.6,260.9,-145.8,1.7,26.5,-30.0,329.0,84.0,86.0,45.71,228.51,-2,-4.600000000000001,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
168,NDAQ,Financial Exchanges,20.2,36.6,-11.8,-4.4,-6.3,-6.8,-10.2,-5.3,0.1,-8.9,-2.9,20.2,76.6,-11.7,1.4,116.0,47.0,160.5,185.0,190.0,59.33,228.53,-7,18.3,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL
169,NOW,Software,-40.4,2.8,1.7,-10.7,-16.9,-31.5,-49.3,-62.8,-72.4,-81.5,-94.2,-40.4,347.6,-50.9,1.6,0.0,7627.8,100.0,277.0,300.0,73.19,230.19,2,249.40000000000055,STRONG_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING
170,RJF,Investment Banking & Brokerage,34.6,49.2,-0.7,0.8,-2.2,-3.4,-8.7,-9.8,-8.7,-7.4,18.8,34.6,106.2,-34.2,1.2,125.6,58.4,174.9,169.0,174.0,77.78,230.78,-2,-1.5,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER
171,GLD,Gold (ETF),65.8,88.2,-4.6,1.7,10.0,19.1,29.4,52.4,64.6,77.9,73.2,65.8,82.5,-58.5,1.5,1.3,-8.2,190.8,157.0,145.0,29.22,233.02,-2,0.0,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH
172,491010.KS,Infrastructure,81.6,92.5,-7.5,17.5,29.8,34.8,63.9,,,,,81.6,60.2,-15.5,1.6,10.8,0.5,98.9,279.0,131.0,17.5,233.3,-2,0.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION
